usernum,stim,cond,adjtype,displaytype,version,audiofile,response,timestamp,order,selectedpos,images,phrase,native,type,stimnum,mturkid,time,cheater,selection,target,condcollapsed,target1,target1hasrel,target1hasabs,target2hasrel,target2hasabs
56,target-8,cmp:rel-both:b,cmp,both-rel,b,target-8-b-cmp,2,Fri Aug 24 13:02:53 2018,5:2:3:1:4,2,rabbit-big_can:bird-med_can:bird-small_can:bird-med_cup:bird-small_cup,bird in the bigger [inaudible],,target,8,c46309,5,FALSE,target2,1,both-rel cmp,1,0,0,0,0
56,target-1,pos:rel-abs:b,pos,abs-rel,b,target-1-b-pos,4,Fri Aug 24 13:03:07 2018,5:4:1:3:2,3,frog-big_box:rabbit-med_box:rabbit-small_box:rabbit-med_bag:frog-small_bag,rabbit in the big [inaudible],,target,1,c46309,5,FALSE,target1,0,abs-rel pos,0,0,1,1,0
56,target-11,pos:rel-both:a,pos,both-rel,a,target-11-a-pos,4,Fri Aug 24 13:03:20 2018,2:1:3:4:5,4,boy-big_carrot:policewoman-med_carrot:policewoman-small_carrot:policewoman-med_cookie:policewoman-small_cookie,policewoman with the big [inaudible],,target,11,c46309,5,FALSE,target1,0,both-rel pos,0,0,0,0,0
56,target-6,cmp:abs-both:a,cmp,abs-both,a,target-6-a-cmp,4,Fri Aug 24 13:03:40 2018,2:3:5:1:4,1,man-big_doll:girl-med_dog:man-small_dog:girl-med_duck:girl-small_duck,girl with the bigger [inaudible],,target,6,c46309,8,FALSE,target2,1,abs-both cmp,1,0,1,1,1
56,target-4,cmp:rel-abs:a,cmp,abs-rel,a,target-4-a-cmp,2,Fri Aug 24 13:03:55 2018,3:2:4:5:1,2,girl-big_pillow:boy-med_pillow:boy-small_pillow:boy-med_paintbrush:girl-small_paintbrush,boy with the bigger [inaudible],,target,4,c46309,5,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
56,target-9,cmp:abs-both:b,cmp,abs-both,b,target-9-b-cmp,4,Fri Aug 24 13:04:11 2018,3:2:5:4:1,4,frog-big_glasses:monkey-med_glue:frog-small_glue:monkey-med_grapes:monkey-small_grapes,monkey with the bigger [inaudible],,target,9,c46309,6,FALSE,target2,1,abs-both cmp,1,0,1,1,1
56,target-12,pos:abs-both:a,pos,abs-both,a,target-12-a-pos,2,Fri Aug 24 13:04:25 2018,5:3:1:4:2,3,cat-big_lamp:horse-med_ladder:cat-small_ladder:horse-med_lizard:horse-small_lizard,horse with the big [inaudible],,target,12,c46309,6,FALSE,target1,0,abs-both pos,0,0,1,1,1
56,target-7,cmp:rel-abs:b,cmp,abs-rel,b,target-7-b-cmp,2,Fri Aug 24 13:04:40 2018,5:1:4:2:3,1,girl-big_sock:man-med_sock:man-small_sock:man-med_scarf:girl-small_scarf,man with the bigger [inaudible],,target,7,c46309,6,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
56,target-10,pos:rel-abs:a,pos,abs-rel,a,target-10-a-pos,4,Fri Aug 24 13:04:56 2018,5:1:4:3:2,3,lady-big_cheese:farmer-med_cheese:farmer-small_cheese:farmer-med_chair:lady-small_chair,farmer with the big [inaudible],,target,10,c46309,6,FALSE,target1,0,abs-rel pos,0,0,1,1,0
56,target-3,pos:abs-both:b,pos,abs-both,b,target-3-b-pos,4,Fri Aug 24 13:05:11 2018,4:1:5:2:3,2,bird-big_tower:cat-med_truck:bird-small_truck:cat-med_tree:cat-small_tree,cat in the big [inaudible],,target,3,c46309,5,FALSE,target2,1,abs-both pos,1,0,1,1,1
58,target-10,pos:abs-both:a,pos,abs-both,a,target-10-a-pos,4,Fri Aug 24 13:09:02 2018,4:3:2:5:1,5,lady-big_cherries:farmer-med_cheese:lady-small_cheese:farmer-med_chair:farmer-small_chair,farmer with the big [inaudible],,target,10,5a6b32249d65ec00017e71e6,26,FALSE,target2,1,abs-both pos,1,0,1,1,1
58,target-6,cmp:rel-both:b,cmp,both-rel,b,target-6-b-cmp,4,Fri Aug 24 13:09:40 2018,3:4:2:5:1,5,man-big_dog:girl-med_dog:girl-small_dog:girl-med_duck:girl-small_duck,girl with the bigger [inaudible],,target,6,5a6b32249d65ec00017e71e6,4,FALSE,target1,0,both-rel cmp,0,0,0,0,0
58,target-7,cmp:abs-both:b,cmp,abs-both,b,target-7-b-cmp,4,Fri Aug 24 13:10:31 2018,4:2:3:1:5,1,girl-big_sandwich:man-med_sock:girl-small_sock:man-med_scarf:man-small_scarf,man with the bigger [inaudible],,target,7,5a6b32249d65ec00017e71e6,6,FALSE,target2,1,abs-both cmp,1,0,1,1,1
58,target-1,pos:abs-both:b,pos,abs-both,b,target-1-b-pos,4,Fri Aug 24 13:10:43 2018,4:5:2:3:1,3,frog-big_basket:rabbit-med_box:frog-small_box:rabbit-med_bag:rabbit-small_bag,rabbit in the big [inaudible],,target,1,5a6b32249d65ec00017e71e6,5,FALSE,target2,1,abs-both pos,1,0,1,1,1
58,target-11,pos:rel-abs:b,pos,abs-rel,b,target-11-b-pos,2,Fri Aug 24 13:10:58 2018,1:4:2:3:5,4,boy-big_carrot:policewoman-med_carrot:policewoman-small_carrot:policewoman-med_cookie:boy-small_cookie,policewoman with the big [inaudible],,target,11,5a6b32249d65ec00017e71e6,4,FALSE,target2,1,abs-rel pos,1,0,1,1,0
58,target-8,pos:rel-abs:a,pos,abs-rel,a,target-8-a-pos,2,Fri Aug 24 13:11:09 2018,4:3:5:1:2,3,rabbit-big_can:bird-med_can:bird-small_can:bird-med_cup:rabbit-small_cup,bird in the big [inaudible],,target,8,5a6b32249d65ec00017e71e6,4,FALSE,target2,1,abs-rel pos,1,0,1,1,0
58,target-3,cmp:rel-both:a,cmp,both-rel,a,target-3-a-cmp,4,Fri Aug 24 13:11:19 2018,4:5:1:2:3,2,bird-big_truck:cat-med_truck:cat-small_truck:cat-med_tree:cat-small_tree,cat in the bigger [inaudible],,target,3,5a6b32249d65ec00017e71e6,4,FALSE,target1,0,both-rel cmp,0,0,0,0,0
58,target-12,pos:rel-both:b,pos,both-rel,b,target-12-b-pos,4,Fri Aug 24 13:12:00 2018,1:5:4:3:2,3,cat-big_ladder:horse-med_ladder:horse-small_ladder:horse-med_lizard:horse-small_lizard,horse with the big [inaudible],,target,12,5a6b32249d65ec00017e71e6,28,FALSE,target1,0,both-rel pos,0,0,0,0,0
